Model,MSO2024
Firmware Version,1.52

Point Format,Y,
-4.4624e+00,-0.00388,-0.0098
-4.4547e+00,-0.0038,0.00148
-4.4470e+00,-0.00364,-0.00908
-4.4393e+00,-0.00356,0.00132
-4.4316e+00,-0.00356,-0.0082
-4.4240e+00,-0.0038,0.00268
-4.4163e+00,-0.00436,-0.00956
-4.4086e+00,-0.00396,-0.00044
-4.4009e+00,-0.00404,-0.00748
-4.3932e+00,-0.00412,0.00156
-4.3856e+00,-0.00412,-0.00964
-4.3779e+00,-0.00404,-0.00212
-4.3702e+00,-0.00396,-0.00596
-4.3625e+00,-0.0042,0.00132
-4.3548e+00,-0.0038,-0.0086
-4.3472e+00,-0.00396,0.00124
-4.3395e+00,-0.00404,-0.00916
-4.3318e+00,-0.00412,0.00148
-4.3241e+00,-0.00404,-0.0094
-4.3164e+00,-0.00444,-0.00076
-4.3088e+00,-0.00452,-0.0078
-4.3011e+00,-0.00428,-0.00132
-4.2934e+00,-0.00428,-0.00708
-4.2857e+00,-0.0042,-0.00124
-4.2780e+00,-0.0042,-0.00716
-4.2704e+00,-0.00468,-0.00092
-4.2627e+00,-0.00428,-0.0074
-4.2550e+00,-0.00412,0.00052
-4.2473e+00,-0.00508,-0.00948
-4.2396e+00,-0.00484,-0.00188
-4.2320e+00,-0.00484,-0.00708
-4.2243e+00,-0.0046,0.00084
-4.2166e+00,-0.00452,-0.00932
-4.2089e+00,-0.00436,0.00108
-4.2012e+00,-0.00428,-0.00972
-4.1935e+00,-0.00404,-0.00132
-4.1859e+00,-0.00388,-0.00652
-4.1782e+00,-0.00372,-0.00268
-4.1705e+00,-0.00396,-0.00564
-4.1628e+00,-0.00428,0.001
-4.1551e+00,-0.00404,-0.00908
-4.1475e+00,-0.00436,-0.00092
-4.1398e+00,-0.00396,-0.00732
-4.1321e+00,-0.00436,0.001
-4.1244e+00,-0.00388,-0.00876
-4.1167e+00,-0.00436,0.00076
-4.1091e+00,-0.00444,-0.00972
-4.1014e+00,-0.00428,0.001
-4.0937e+00,-0.0042,-0.0098
-4.0860e+00,-0.00444,0.00068
-4.0783e+00,-0.00444,-0.00916
-4.0707e+00,-0.00372,0.00076
-4.0630e+00,-0.00396,-0.00932
-4.0553e+00,-0.00412,0.00148
-4.0476e+00,-0.00444,-0.00996
-4.0399e+00,-0.0046,0.00132
-4.0323e+00,-0.00452,-0.00948
-4.0246e+00,-0.00452,0.00012
-4.0169e+00,-0.00412,-0.00908
-4.0092e+00,-0.00436,-0.00044
-4.0015e+00,-0.00452,-0.00836
-3.9939e+00,-0.00436,0.00076
-3.9862e+00,-0.00452,-0.00964
-3.9785e+00,-0.00436,-0.001
-3.9708e+00,-0.00428,-0.00796
-3.9631e+00,-0.00436,0.00108
-3.9555e+00,-0.00476,-0.01044
-3.9478e+00,-0.0046,-4e-05
-3.9401e+00,-0.00468,-0.00948
-3.9324e+00,-0.00476,0.00036
-3.9247e+00,-0.00484,-0.00948
-3.9171e+00,-0.00516,-4e-05
-3.9094e+00,-0.0046,-0.0094
-3.9017e+00,-0.0042,-0.00132
-3.8940e+00,-0.00484,-0.00852
-3.8863e+00,-0.00404,4e-05
-3.8786e+00,-0.00476,-0.00924
-3.8710e+00,-0.00428,0.00028
-3.8633e+00,-0.00436,-0.00836
-3.8556e+00,-0.00412,0.00036
-3.8479e+00,-0.0046,-0.009
-3.8402e+00,-0.00492,-0.00172
-3.8326e+00,-0.005,-0.00748
-3.8249e+00,-0.00452,-0.0014
-3.8172e+00,-0.00452,-0.00796
-3.8095e+00,-0.00484,-0.00116
-3.8018e+00,-0.00492,-0.009
-3.7942e+00,-0.00524,-0.00236
-3.7865e+00,-0.00468,-0.00772
-3.7788e+00,-0.00516,-0.00308
-3.7711e+00,-0.00468,-0.00684
-3.7634e+00,-0.00532,0.00036
-3.7558e+00,-0.00492,-0.01044
-3.7481e+00,-0.005,4e-05
-3.7404e+00,-0.00452,-0.009
-3.7327e+00,-0.00524,4e-05
-3.7250e+00,-0.00468,-0.01012
-3.7174e+00,-0.00468,-0.00124
-3.7097e+00,-0.00484,-0.00772
-3.7020e+00,-0.00444,-0.00148
-3.6943e+00,-0.00468,-0.00836
-3.6866e+00,-0.00452,0.00036
-3.6790e+00,-0.00468,-0.00988
-3.6713e+00,-0.00524,-0.00124
-3.6636e+00,-0.00508,-0.0094
-3.6559e+00,-0.00476,-0.00124
-3.6482e+00,-0.00524,-0.00932
-3.6406e+00,-0.00532,-0.00052
-3.6329e+00,-0.00524,-0.0094
-3.6252e+00,-0.00492,-0.00124
-3.6175e+00,-0.00564,-0.00876
-3.6098e+00,-0.00508,-0.00124
-3.6022e+00,-0.00516,-0.00892
-3.5945e+00,-0.00492,-0.00164
-3.5868e+00,-0.00508,-0.00884
-3.5791e+00,-0.00492,-0.00044
-3.5714e+00,-0.0054,-0.01124
-3.5637e+00,-0.00532,-0.0014
-3.5561e+00,-0.00508,-0.01004
-3.5484e+00,-0.0054,-0.00228
-3.5407e+00,-0.00516,-0.00772
-3.5330e+00,-0.0054,-0.00076
-3.5253e+00,-0.00556,-0.00972
-3.5177e+00,-0.00556,0.00068
-3.5100e+00,-0.00564,-0.01148
-3.5023e+00,-0.00516,-0.00236
-3.4946e+00,-0.00524,-0.00844
-3.4869e+00,-0.00556,-0.00012
-3.4793e+00,-0.005,-0.01068
-3.4716e+00,-0.00508,-0.00124
-3.4639e+00,-0.00524,-0.00876
-3.4562e+00,-0.00516,0.001
-3.4485e+00,-0.00468,-0.01052
-3.4409e+00,-0.00508,-0.00228
-3.4332e+00,-0.0054,-0.00844
-3.4255e+00,-0.00476,0.00036
-3.4178e+00,-0.005,-0.00972
-3.4101e+00,-0.00516,-0.0002
-3.4025e+00,-0.00492,-0.01004
-3.3948e+00,-0.00468,-0.00188
-3.3871e+00,-0.00468,-0.00844
-3.3794e+00,-0.00452,-0.00196
-3.3717e+00,-0.00492,-0.00764
-3.3641e+00,-0.00484,-0.0002
-3.3564e+00,-0.005,-0.00956
-3.3487e+00,-0.00516,0.00012
-3.3410e+00,-0.00532,-0.01036
-3.3333e+00,-0.00556,-0.00108
-3.3257e+00,-0.00548,-0.00924
-3.3180e+00,-0.0054,-0.00044
-3.3103e+00,-0.00548,-0.011
-3.3026e+00,-0.0058,-0.00028
-3.2949e+00,-0.00532,-0.011
-3.2873e+00,-0.00596,-0.00124
-3.2796e+00,-0.00564,-0.00956
-3.2719e+00,-0.00524,-0.0014
-3.2642e+00,-0.00596,-0.0102
-3.2565e+00,-0.00572,-0.0006
-3.2488e+00,-0.00612,-0.01076
-3.2412e+00,-0.00612,-0.00324
-3.2335e+00,-0.00596,-0.009
-3.2258e+00,-0.00668,-0.00292
-3.2181e+00,-0.00628,-0.01036
-3.2104e+00,-0.00684,-0.00172
-3.2028e+00,-0.0066,-0.01148
-3.1951e+00,-0.00692,-0.00348
-3.1874e+00,-0.007,-0.00972
-3.1797e+00,-0.00644,-0.00228
-3.1720e+00,-0.00588,-0.01052
-3.1644e+00,-0.00652,-0.00092
-3.1567e+00,-0.00612,-0.01148
-3.1490e+00,-0.0062,-0.00172
-3.1413e+00,-0.00572,-0.01036
-3.1336e+00,-0.00628,-0.00188
-3.1260e+00,-0.00636,-0.011
-3.1183e+00,-0.00636,-0.00188
-3.1106e+00,-0.00676,-0.0114
-3.1029e+00,-0.00628,-0.00012
-3.0952e+00,-0.00644,-0.01244
-3.0876e+00,-0.00652,-0.00228
-3.0799e+00,-0.0066,-0.01116
-3.0722e+00,-0.00636,-0.00028
-3.0645e+00,-0.00644,-0.0126
-3.0568e+00,-0.00684,-0.00132
-3.0492e+00,-0.00684,-0.01204
-3.0415e+00,-0.0066,-0.00252
-3.0338e+00,-0.00612,-0.01092
-3.0261e+00,-0.00652,-0.00196
-3.0184e+00,-0.00612,-0.01004
-3.0108e+00,-0.0062,-0.003
-3.0031e+00,-0.00628,-0.0102
-2.9954e+00,-0.00604,-0.00356
-2.9877e+00,-0.0062,-0.01004
-2.9800e+00,-0.00676,-0.00268
-2.9724e+00,-0.00628,-0.0106
-2.9647e+00,-0.00692,-0.00052
-2.9570e+00,-0.0062,-0.01236
-2.9493e+00,-0.0066,-0.001
-2.9416e+00,-0.00604,-0.0126
-2.9339e+00,-0.00604,-0.001
-2.9263e+00,-0.00612,-0.01188
-2.9186e+00,-0.00588,-0.00252
-2.9109e+00,-0.00644,-0.00948
-2.9032e+00,-0.0062,-0.00284
-2.8955e+00,-0.00676,-0.01004
-2.8879e+00,-0.00644,-0.00124
-2.8802e+00,-0.0066,-0.01204
-2.8725e+00,-0.0062,-0.003
-2.8648e+00,-0.00684,-0.00956
-2.8571e+00,-0.00628,-0.00164
-2.8495e+00,-0.00668,-0.011
-2.8418e+00,-0.00636,-0.0006
-2.8341e+00,-0.0062,-0.01188
-2.8264e+00,-0.00628,-0.00276
-2.8187e+00,-0.00628,-0.00988
-2.8111e+00,-0.00644,-0.00124
-2.8034e+00,-0.00676,-0.0118
-2.7957e+00,-0.00652,-0.00348
-2.7880e+00,-0.00652,-0.00948
-2.7803e+00,-0.00676,-0.001
-2.7727e+00,-0.00676,-0.0126
-2.7650e+00,-0.00708,-0.00268
-2.7573e+00,-0.00668,-0.01092
-2.7496e+00,-0.007,-0.00348
-2.7419e+00,-0.00636,-0.00932
-2.7343e+00,-0.00692,-0.00156
-2.7266e+00,-0.00668,-0.01164
-2.7189e+00,-0.007,-0.003
-2.7112e+00,-0.00684,-0.01036
-2.7035e+00,-0.00692,-0.003
-2.6959e+00,-0.00724,-0.01164
-2.6882e+00,-0.00708,-0.00444
-2.6805e+00,-0.00708,-0.01036
-2.6728e+00,-0.00684,-0.00196
-2.6651e+00,-0.00732,-0.01212
-2.6575e+00,-0.00708,-0.00236
-2.6498e+00,-0.00732,-0.01276
-2.6421e+00,-0.00732,-0.0022
-2.6344e+00,-0.00772,-0.0134
-2.6267e+00,-0.00764,-0.00324
-2.6190e+00,-0.00748,-0.01244
-2.6114e+00,-0.00812,-0.00652
-2.6037e+00,-0.00756,-0.00892
-2.5960e+00,-0.00788,-0.0026
-2.5883e+00,-0.00764,-0.01244
-2.5806e+00,-0.00852,-0.003
-2.5730e+00,-0.00732,-0.01228
-2.5653e+00,-0.0078,-0.00372
-2.5576e+00,-0.00748,-0.01212
-2.5499e+00,-0.00772,-0.00212
-2.5422e+00,-0.00772,-0.01212
-2.5346e+00,-0.0078,-0.00236
-2.5269e+00,-0.0074,-0.01356
-2.5192e+00,-0.007,-0.00228
-2.5115e+00,-0.0074,-0.01276
-2.5038e+00,-0.00732,-0.00268
-2.4962e+00,-0.00716,-0.01228
-2.4885e+00,-0.00756,-0.0034
-2.4808e+00,-0.00772,-0.01092
-2.4731e+00,-0.00764,-0.00188
-2.4654e+00,-0.00764,-0.01316
-2.4578e+00,-0.00772,-0.0026
-2.4501e+00,-0.00756,-0.01276
-2.4424e+00,-0.0078,-0.00308
-2.4347e+00,-0.0074,-0.01204
-2.4270e+00,-0.0074,-0.00244
-2.4194e+00,-0.00748,-0.01236
-2.4117e+00,-0.00764,-0.00412
-2.4040e+00,-0.00812,-0.01116
-2.3963e+00,-0.00812,-0.00364
-2.3886e+00,-0.00852,-0.01244
-2.3810e+00,-0.00796,-0.00292
-2.3733e+00,-0.00812,-0.01252
-2.3656e+00,-0.00804,-0.00244
-2.3579e+00,-0.0078,-0.01316
-2.3502e+00,-0.00788,-0.00268
-2.3425e+00,-0.00812,-0.0126
-2.3349e+00,-0.00804,-0.00172
-2.3272e+00,-0.00796,-0.01412
-2.3195e+00,-0.00732,-0.003
-2.3118e+00,-0.00772,-0.01268
-2.3041e+00,-0.0078,-0.00268
-2.2965e+00,-0.00788,-0.01228
-2.2888e+00,-0.00828,-0.00268
-2.2811e+00,-0.00772,-0.01332
-2.2734e+00,-0.00804,-0.00548
-2.2657e+00,-0.00788,-0.01052
-2.2581e+00,-0.00764,-0.003
-2.2504e+00,-0.00748,-0.01188
-2.2427e+00,-0.0078,-0.00444
-2.2350e+00,-0.00756,-0.01148
-2.2273e+00,-0.00788,-0.00268
-2.2197e+00,-0.00764,-0.0134
-2.2120e+00,-0.0078,-0.00588
-2.2043e+00,-0.00756,-0.0094
-2.1966e+00,-0.00844,-0.0046
-2.1889e+00,-0.00764,-0.01028
-2.1813e+00,-0.00764,-0.00356
-2.1736e+00,-0.0074,-0.01132
-2.1659e+00,-0.00772,-0.00444
-2.1582e+00,-0.0078,-0.0106
-2.1505e+00,-0.00804,-0.00236
-2.1429e+00,-0.00812,-0.0134
-2.1352e+00,-0.00812,-0.00348
-2.1275e+00,-0.00756,-0.01284
-2.1198e+00,-0.00748,-0.0034
-2.1121e+00,-0.00756,-0.01268
-2.1045e+00,-0.00788,-0.003
-2.0968e+00,-0.00804,-0.01284
-2.0891e+00,-0.00788,-0.00508
-2.0814e+00,-0.00764,-0.01092
-2.0737e+00,-0.00796,-0.00452
-2.0661e+00,-0.00804,-0.01116
-2.0584e+00,-0.00756,-0.00508
-2.0507e+00,-0.00772,-0.01012
-2.0430e+00,-0.00772,-0.00484
-2.0353e+00,-0.00812,-0.01084
-2.0276e+00,-0.00844,-0.00284
-2.0200e+00,-0.00828,-0.013
-2.0123e+00,-0.00804,-0.00468
-2.0046e+00,-0.00764,-0.01092
-1.9969e+00,-0.00772,-0.00404
-1.9892e+00,-0.00756,-0.01084
-1.9816e+00,-0.00764,-0.00228
-1.9739e+00,-0.00716,-0.013
-1.9662e+00,-0.0078,-0.00412
-1.9585e+00,-0.00764,-0.01108
-1.9508e+00,-0.00764,-0.00316
-1.9432e+00,-0.00796,-0.01252
-1.9355e+00,-0.00812,-0.00284
-1.9278e+00,-0.00748,-0.01364
-1.9201e+00,-0.00772,-0.00292
-1.9124e+00,-0.00756,-0.01228
-1.9048e+00,-0.00804,-0.00268
-1.8971e+00,-0.00804,-0.01292
-1.8894e+00,-0.0078,-0.00276
-1.8817e+00,-0.00788,-0.01348
-1.8740e+00,-0.00844,-0.00396
-1.8664e+00,-0.00772,-0.0114
-1.8587e+00,-0.00796,-0.00364
-1.8510e+00,-0.00764,-0.01172
-1.8433e+00,-0.00796,-0.0046
-1.8356e+00,-0.00796,-0.01148
-1.8280e+00,-0.00796,-0.00404
-1.8203e+00,-0.00764,-0.01004
-1.8126e+00,-0.0078,-0.0034
-1.8049e+00,-0.00828,-0.01172
-1.7972e+00,-0.00828,-0.00244
-1.7896e+00,-0.00812,-0.01364
-1.7819e+00,-0.00804,-0.00348
-1.7742e+00,-0.00828,-0.01268
-1.7665e+00,-0.00844,-0.0022
-1.7588e+00,-0.00804,-0.0134
-1.7512e+00,-0.00876,-0.00284
-1.7435e+00,-0.00828,-0.01396
-1.7358e+00,-0.00844,-0.00228
-1.7281e+00,-0.00836,-0.01436
-1.7204e+00,-0.0086,-0.00516
-1.7127e+00,-0.00844,-0.0114
-1.7051e+00,-0.00804,-0.00284
-1.6974e+00,-0.0086,-0.01324
-1.6897e+00,-0.0082,-0.00196
-1.6820e+00,-0.0078,-0.01372
-1.6743e+00,-0.00828,-0.00452
-1.6667e+00,-0.00804,-0.01164
-1.6590e+00,-0.0078,-0.00508
-1.6513e+00,-0.00788,-0.01092
-1.6436e+00,-0.0074,-0.0038
-1.6359e+00,-0.00772,-0.0114
-1.6283e+00,-0.00764,-0.0042
-1.6206e+00,-0.0078,-0.01052
-1.6129e+00,-0.00716,-0.00356
-1.6052e+00,-0.0074,-0.01212
-1.5975e+00,-0.00724,-0.00252
-1.5899e+00,-0.0074,-0.01292
-1.5822e+00,-0.00804,-0.00252
-1.5745e+00,-0.00748,-0.01324
-1.5668e+00,-0.00796,-0.00196
-1.5591e+00,-0.00764,-0.01372
-1.5515e+00,-0.00812,-0.00404
-1.5438e+00,-0.00796,-0.01204
-1.5361e+00,-0.0086,-0.00324
-1.5284e+00,-0.0082,-0.01412
-1.5207e+00,-0.00852,-0.005
-1.5131e+00,-0.00852,-0.01196
-1.5054e+00,-0.00852,-0.00332
-1.4977e+00,-0.0086,-0.0138
-1.4900e+00,-0.0082,-0.00364
-1.4823e+00,-0.00852,-0.01396
-1.4747e+00,-0.00844,-0.00308
-1.4670e+00,-0.0086,-0.0138
-1.4593e+00,-0.00852,-0.0034
-1.4516e+00,-0.00876,-0.01364
-1.4439e+00,-0.0086,-0.00404
-1.4363e+00,-0.0082,-0.01356
-1.4286e+00,-0.00836,-0.00508
-1.4209e+00,-0.0082,-0.0114
-1.4132e+00,-0.00844,-0.00308
-1.4055e+00,-0.00772,-0.01356
-1.3978e+00,-0.00868,-0.00316
-1.3902e+00,-0.00804,-0.01324
-1.3825e+00,-0.00844,-0.003
-1.3748e+00,-0.0078,-0.01292
-1.3671e+00,-0.0082,-0.0042
-1.3594e+00,-0.00796,-0.01172
-1.3518e+00,-0.00844,-0.00316
-1.3441e+00,-0.00812,-0.01316
-1.3364e+00,-0.00804,-0.0042
-1.3287e+00,-0.0082,-0.01356
-1.3210e+00,-0.00828,-0.00364
-1.3134e+00,-0.00892,-0.01364
-1.3057e+00,-0.0082,-0.00324
-1.2980e+00,-0.00876,-0.01428
-1.2903e+00,-0.00836,-0.00548
-1.2826e+00,-0.0086,-0.01252
-1.2750e+00,-0.00884,-0.00516
-1.2673e+00,-0.00892,-0.01212
-1.2596e+00,-0.00844,-0.00532
-1.2519e+00,-0.00844,-0.01332
-1.2442e+00,-0.0086,-0.005
-1.2366e+00,-0.00884,-0.01268
-1.2289e+00,-0.0086,-0.00532
-1.2212e+00,-0.00884,-0.01148
-1.2135e+00,-0.00908,-0.00492
-1.2058e+00,-0.0086,-0.01324
-1.1982e+00,-0.00892,-0.00516
-1.1905e+00,-0.0086,-0.01196
-1.1828e+00,-0.00796,-0.005
-1.1751e+00,-0.00804,-0.01156
-1.1674e+00,-0.00828,-0.0026
-1.1598e+00,-0.00796,-0.01372
-1.1521e+00,-0.0082,-0.00316
-1.1444e+00,-0.00836,-0.01332
-1.1367e+00,-0.00812,-0.00316
-1.1290e+00,-0.00868,-0.01396
-1.1214e+00,-0.0086,-0.0038
-1.1137e+00,-0.0086,-0.01292
-1.1060e+00,-0.00876,-0.00668
-1.0983e+00,-0.009,-0.01108
-1.0906e+00,-0.00804,-0.0022
-1.0829e+00,-0.00868,-0.01388
-1.0753e+00,-0.00852,-0.0034
-1.0676e+00,-0.0086,-0.01252
-1.0599e+00,-0.00892,-0.00284
-1.0522e+00,-0.0078,-0.0122
-1.0445e+00,-0.00788,-0.003
-1.0369e+00,-0.00844,-0.01348
-1.0292e+00,-0.00828,-0.005
-1.0215e+00,-0.00844,-0.011
-1.0138e+00,-0.00764,-0.00204
-1.0061e+00,-0.0082,-0.01332
-9.9846e-01,-0.00828,-0.00468
-9.9078e-01,-0.00772,-0.01148
-9.8310e-01,-0.00788,-0.005
-9.7542e-01,-0.00764,-0.0102
-9.6774e-01,-0.00724,-0.00364
-9.6006e-01,-0.00732,-0.01156
-9.5238e-01,-0.00756,-0.00164
-9.4470e-01,-0.00788,-0.01324
-9.3702e-01,-0.00724,-0.00428
-9.2934e-01,-0.00724,-0.01004
-9.2166e-01,-0.00708,-0.00284
-9.1398e-01,-0.0074,-0.0114
-9.0630e-01,-0.00692,-0.00204
-8.9862e-01,-0.00676,-0.01212
-8.9094e-01,-0.007,-0.00284
-8.8326e-01,-0.00684,-0.01172
-8.7558e-01,-0.00668,-0.00228
-8.6790e-01,-0.00684,-0.01124
-8.6022e-01,-0.00652,-0.00252
-8.5253e-01,-0.00676,-0.01084
-8.4485e-01,-0.00676,-0.0054
-8.3717e-01,-0.0066,-0.0078
-8.2949e-01,-0.00644,-0.00212
-8.2181e-01,-0.00636,-0.01044
-8.1413e-01,-0.00676,-0.0026
-8.0645e-01,-0.00644,-0.01044
-7.9877e-01,-0.00668,-0.0046
-7.9109e-01,-0.0066,-0.00892
-7.8341e-01,-0.00668,-0.00164
-7.7573e-01,-0.00628,-0.01124
-7.6805e-01,-0.00628,-0.00108
-7.6037e-01,-0.00684,-0.01212
-7.5269e-01,-0.00684,-0.00196
-7.4501e-01,-0.00692,-0.01156
-7.3733e-01,-0.00652,-0.00092
-7.2965e-01,-0.00732,-0.01308
-7.2197e-01,-0.00716,-0.00132
-7.1429e-01,-0.00748,-0.01388
-7.0661e-01,-0.00732,-0.003
-6.9892e-01,-0.00732,-0.01084
-6.9124e-01,-0.00724,-0.00228
-6.8356e-01,-0.00716,-0.01172
-6.7588e-01,-0.00708,-0.00228
-6.6820e-01,-0.00708,-0.0118
-6.6052e-01,-0.00636,-0.00252
-6.5284e-01,-0.007,-0.01116
-6.4516e-01,-0.00716,-0.00436
-6.3748e-01,-0.00676,-0.00964
-6.2980e-01,-0.00676,-0.00188
-6.2212e-01,-0.0066,-0.01108
-6.1444e-01,-0.00652,-0.00148
-6.0676e-01,-0.00652,-0.01156
-5.9908e-01,-0.00676,-0.00228
-5.9140e-01,-0.00636,-0.01052
-5.8372e-01,-0.0062,-0.0014
-5.7604e-01,-0.00652,-0.01148
-5.6836e-01,-0.00612,-0.00196
-5.6068e-01,-0.00628,-0.011
-5.5300e-01,-0.00644,-0.0018
-5.4531e-01,-0.00628,-0.0118
-5.3763e-01,-0.00652,-0.003
-5.2995e-01,-0.00652,-0.0094
-5.2227e-01,-0.0058,-0.00076
-5.1459e-01,-0.00596,-0.011
-5.0691e-01,-0.0058,-0.00292
-4.9923e-01,-0.00588,-0.0082
-4.9155e-01,-0.00588,-0.0022
-4.8387e-01,-0.0058,-0.00988
-4.7619e-01,-0.00604,-0.00076
-4.6851e-01,-0.0062,-0.01124
-4.6083e-01,-0.0058,-4e-05
-4.5315e-01,-0.00548,-0.01092
-4.4547e-01,-0.00548,-0.00204
-4.3779e-01,-0.00556,-0.00908
-4.3011e-01,-0.00564,4e-05
-4.2243e-01,-0.00532,-0.01036
-4.1475e-01,-0.00564,-0.0006
-4.0707e-01,-0.00516,-0.01012
-3.9939e-01,-0.0058,-0.00012
-3.9171e-01,-0.00532,-0.01028
-3.8402e-01,-0.00492,-0.00036
-3.7634e-01,-0.00532,-0.0102
-3.6866e-01,-0.0058,-0.0006
-3.6098e-01,-0.00556,-0.01076
-3.5330e-01,-0.00572,-0.00124
-3.4562e-01,-0.0058,-0.01116
-3.3794e-01,-0.00564,-0.001
-3.3026e-01,-0.00596,-0.01132
-3.2258e-01,-0.00588,-0.00292
-3.1490e-01,-0.00604,-0.009
-3.0722e-01,-0.0058,-0.00068
-2.9954e-01,-0.00588,-0.00972
-2.9186e-01,-0.00564,4e-05
-2.8418e-01,-0.00548,-0.01172
-2.7650e-01,-0.00572,-0.00092
-2.6882e-01,-0.00548,-0.01108
-2.6114e-01,-0.00572,-0.00196
-2.5346e-01,-0.0058,-0.00988
-2.4578e-01,-0.00564,-0.0042
-2.3810e-01,-0.00612,-0.0078
-2.3041e-01,-0.0058,-0.0006
-2.2273e-01,-0.00548,-0.01132
-2.1505e-01,-0.00596,-0.00132
-2.0737e-01,-0.00572,-0.01148
-1.9969e-01,-0.00604,-0.0006
-1.9201e-01,-0.00604,-0.0126
-1.8433e-01,-0.00644,-0.00068
-1.7665e-01,-0.00612,-0.01116
-1.6897e-01,-0.0062,-0.00156
-1.6129e-01,-0.00636,-0.01036
-1.5361e-01,-0.00596,-0.00036
-1.4593e-01,-0.00596,-0.01132
-1.3825e-01,-0.00588,0.0002
-1.3057e-01,-0.00564,-0.01004
-1.2289e-01,-0.00556,-0.00148
-1.1521e-01,-0.00564,-0.00836
-1.0753e-01,-0.00492,-0.0018
-9.9846e-02,-0.00524,-0.009
-9.2166e-02,-0.005,-0.00204
-8.4485e-02,-0.00516,-0.00828
-7.6805e-02,-0.00516,-0.00124
-6.9124e-02,-0.005,-0.00916
-6.1444e-02,-0.00492,-0.00172
-5.3763e-02,-0.00452,-0.00796
-4.6083e-02,-0.00436,0.001
-3.8402e-02,-0.00492,-0.01028
-3.0722e-02,-0.00468,0.00036
-2.3041e-02,-0.0046,-0.0102
-1.5361e-02,-0.00452,-0.00116
-7.6805e-03,-0.0046,-0.00812
-1.7007e-13,-0.00508,-0.00036
7.6805e-03,-0.00484,-0.00996
1.5361e-02,-0.00508,0.00036
2.3041e-02,-0.00444,-0.00948
3.0722e-02,-0.005,-0.00108
3.8402e-02,-0.00492,-0.0082
4.6083e-02,-0.005,-0.00084
5.3763e-02,-0.00484,-0.00948
6.1444e-02,-0.00484,-0.00036
6.9124e-02,-0.00492,-0.00916
7.6805e-02,-0.0046,-0.00084
8.4485e-02,-0.005,-0.00884
9.2166e-02,-0.00468,4e-05
9.9846e-02,-0.00492,-0.00988
1.0753e-01,-0.00468,-0.00052
1.1521e-01,-0.0046,-0.00876
1.2289e-01,-0.0046,-0.00092
1.3057e-01,-0.00444,-0.00836
1.3825e-01,-0.0046,-0.00148
1.4593e-01,-0.00452,-0.00692
1.5361e-01,-0.00476,0.00084
1.6129e-01,-0.00468,-0.0102
1.6897e-01,-0.0046,0.0002
1.7665e-01,-0.00428,-0.00956
1.8433e-01,-0.00412,-0.0002
1.9201e-01,-0.00412,-0.00844
1.9969e-01,-0.00372,-0.00012
2.0737e-01,-0.00388,-0.00764
2.1505e-01,-0.00388,-0.00084
2.2273e-01,-0.0034,-0.00636
2.3041e-01,-0.0038,-0.00052
2.3810e-01,-0.00372,-0.00684
2.4578e-01,-0.00372,0.00124
2.5346e-01,-0.00372,-0.00956
2.6114e-01,-0.00412,-0.00156
2.6882e-01,-0.00428,-0.00644
2.7650e-01,-0.00388,0.00156
2.8418e-01,-0.0038,-0.00948
2.9186e-01,-0.00356,0.00164
2.9954e-01,-0.00348,-0.00964
3.0722e-01,-0.0042,0.00196
3.1490e-01,-0.00388,-0.00972
3.2258e-01,-0.00372,0.00084
3.3026e-01,-0.00388,-0.00804
3.3794e-01,-0.00388,-0.00132
3.4562e-01,-0.0038,-0.00708
3.5330e-01,-0.00364,0.00068
3.6098e-01,-0.00412,-0.00844
3.6866e-01,-0.00444,0.00092
3.7634e-01,-0.00388,-0.00876
3.8402e-01,-0.00412,0.0018
3.9171e-01,-0.00364,-0.01044
3.9939e-01,-0.00372,0.00092
4.0707e-01,-0.00396,-0.00868
4.1475e-01,-0.00348,-0.00052
4.2243e-01,-0.00412,-0.00676
4.3011e-01,-0.0038,4e-05
4.3779e-01,-0.00348,-0.0074
4.4547e-01,-0.0038,-0.00068
4.5315e-01,-0.00372,-0.00652
4.6083e-01,-0.00348,-0.00028
4.6851e-01,-0.0042,-0.00764
4.7619e-01,-0.00364,0.00236
4.8387e-01,-0.00324,-0.00892
4.9155e-01,-0.00348,0.00012
4.9923e-01,-0.00364,-0.00756
5.0691e-01,-0.00356,0.00188
5.1459e-01,-0.00324,-0.00812
5.2227e-01,-0.00308,0.00204
5.2995e-01,-0.003,-0.0086
5.3763e-01,-0.00348,-0.00108
5.4531e-01,-0.00332,-0.00532
5.5300e-01,-0.00332,0.0006
5.6068e-01,-0.0034,-0.00692
5.6836e-01,-0.00388,0.00028
5.7604e-01,-0.00348,-0.00684
5.8372e-01,-0.00348,0.00012
5.9140e-01,-0.00284,-0.0062
5.9908e-01,-0.00396,0.00196
6.0676e-01,-0.00372,-0.00828
6.1444e-01,-0.00332,0.00228
6.2212e-01,-0.0034,-0.0082
6.2980e-01,-0.00324,0.00188
6.3748e-01,-0.00356,-0.00892
6.4516e-01,-0.00372,-0.00108
6.5284e-01,-0.00332,-0.00612
6.6052e-01,-0.00252,0.00204
6.6820e-01,-0.0034,-0.00868
6.7588e-01,-0.0034,0.00028
6.8356e-01,-0.00332,-0.00684
6.9124e-01,-0.0034,0.00124
6.9892e-01,-0.0034,-0.0078
7.0661e-01,-0.00316,0.00172
7.1429e-01,-0.00292,-0.0082
